Nome,Continuidade,Tipo,Espécie,Planeta Natal,Altura,Massa,Nascimento,Morte,Famílias,Pais,Parceiros,Irmãos,Filhos,Mestres,Aprendizes,Afiliação
Brianna,Legends,Jedi,Human-Echani hybrid,N/A,N/A,N/A,3976 BBY,N/A,N/A,Arren Kae; Yusanis,N/A,Handmaiden Sisters,N/A,Atris ; Meetra Surik,N/A,Handmaiden Sisters; Lost Jedi
Atris,Legends,Jedi,Human,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Jedi Order
Meetra Surik,Canon,Jedi,Human,Dantooine,N/A,N/A,Roughly ten years before Bastila Shan,"3950 BBY, Dromund Kaas",N/A,N/A,N/A,N/A,N/A,Unidentified Jedi; Vima Sunrider ; Kavar ; Revan ; Zez-Kai Ell ; Kreia,Atton Rand ; Mical ; Visas Marr,Jedi Order ; Onderon Royalists
Ainlee Teem,Legends,Galactic Republic,Gran,Malastare,N/A,N/A,N/A,N/A,new,new,new,new,new,N/A,N/A,Galactic Republic; Galactic Senate
Palpatine,Legends,Sith,Human,Naboo,1.73 / 1.78 meters,75 kilograms,82 BBY Naboo,"4 ABY , Death Star II (original body); 10 ABY , Byss; 10 ABY , Eclipse above Da Soocha V; 11 ABY , Onderon",House Palpatine,Cosinga Palpatine,N/A,First brother; Second brother; First sister; Second sister,Triclops,Darth Plagueis,Darth Maul; Vergere; Darth Tyranus; Darth Vader; Ferus Olin ; Mara Jade; Cronal; Ennix Devian ; Lumiya; Luke Skywalker ; Sedriss QL,Damask Holdings; Galactic Republic; Galactic Empire; Dark Side Elite
Aayla Secura,Legends,Jedi,Twi'lek,Ryloth,1.7 meters,55 kilograms,c. 48 BBY,"19 BBY , Felucia",N/A,N/A,N/A,N/A,N/A,Quinlan Vos ; Volfe Karkko ; Tholme,N/A,Jedi Order; Blue Squadron
Firmus Piett,Legends,Galactic Empire,Human,Axxila,1.65 meters,70 kilograms,39 BBY,"4 ABY (39:3 GrS), Executor, over Endor",N/A,N/A,N/A,N/A,N/A,N/A,N/A,Axxila antipirate fleet; Galactic Empire; Imperial Navy; Death Squadron
Firmus Piett,Canon,Galactic Empire,Human,Axxila,1.73 meters,N/A,N/A,"4 ABY, Executor, Endor system",N/A,Pollus; Firmus Piett's mother,N/A,N/A,N/A,N/A,N/A,Galactic Empire; Imperial Navy's officer corps
Sev'rance Tann,Legends,Dark Jedi,Chiss,Csilla,N/A,N/A,N/A,"22 BBY, Krant",new,new,Vandalor,new,new,Darth Tyranus,N/A,Chiss Ascendancy; Chiss Academy; Confederacy of Independent Systems; Confederacy military
Jango Fett,Legends,Mandalorian,Human,Concord Dawn,1.83 meters,79 kilograms,"66 BBY , Concord Dawn","22 BBY , Geonosis",Fett,Fett; Jango Fett's mother,N/A,Arla Fett,Boba Fett,Jaster Mereel,N/A,Mandalorians; True Mandalorians; Galactic Republic; Confederacy of Independent Systems
